power,frequency,xhop,yhop,amp,BER
1.0,20,-1, -3,0.0595007663341,0.983199412546
1.0,20,1, 0,2.20622230778,0.0333909161712
1.0,20,2, -3,0.0409854964416,0.984649198162
1.0,20,3, -1,0.122356965313,0.973331949757
1.0,20,-2, 1,0.305435654688,0.872119044068
1.0,20,4, -1,0.0648807216275,0.982576978969
1.0,20,2, -1,0.313631956244,0.866035415557
1.0,20,3, -3,0.0259935045352,0.985466479058
1.0,20,4, 3,0.0220610519928,0.985622261886
1.0,20,0, 2,0.243101255768,0.917352258588
1.0,20,-2, 3,0.0531298909338,0.983848209687
1.0,21,3, 0,0.146999511449,0.958185553103
1.0,21,-1, 3,0.0644478980905,0.980950288518
1.0,21,0, -2,0.221774235426,0.919568078595
1.0,21,-2, -3,0.0381124286388,0.983431043738
1.0,21,-2, -1,0.283133513457,0.873521450025
1.0,21,1, -3,0.0506113552672,0.982561896938
1.0,21,0, -4,0.0202809397842,0.984669520049
1.0,21,1, 3,0.0661044773961,0.980259128269
1.0,21,1, 1,0.882149863621,0.383167664285
1.0,21,-3, -2,0.0744897476405,0.979938092466
1.0,21,4, -2,0.0356616965667,0.98356690661
1.0,21,3, 2,0.0607052621113,0.981464542084
1.0,21,-1, 1,0.875268999242,0.387256474829
1.0,21,2, 3,0.0442798674756,0.98287286824
1.0,21,4, -3,0.0177138653389,0.984658389428
1.0,21,0, 1,1.48699217128,0.124326937247
1.0,21,4, 2,0.0356330228165,0.983700439404
1.0,21,-3, -1,0.117601836887,0.970102725394
1.0,21,-3, 1,0.117549263704,0.96997724365
1.0,21,4, 0,0.072126735271,0.980585691473
1.0,21,-1, -2,0.178446999823,0.944767401052
1.0,21,-1, -4,0.019740501416,0.984630329175
1.0,21,3, 3,0.0269471224089,0.98428168822
1.0,21,4, -4,0.0109432422948,0.985216507737
1.0,21,2, -2,0.115100037737,0.97113090504
1.0,21,2, 1,0.290697459186,0.868054213881
1.0,21,-2, 0,0.493614434824,0.682534977586
1.0,21,0, 3,0.074653819932,0.980251423339
1.0,21,2, 2,0.117321160983,0.97076913067
1.0,21,-2, 2,0.116008597976,0.969465720307
1.0,21,-3, 3,0.0392535345536,0.983349078152
1.0,21,0, -1,1.48755807133,0.124543980108
1.0,21,3, -2,0.0575150262177,0.981833240479
1.0,21,-1, 2,0.178186675082,0.943597016322
1.0,21,3, 1,0.119340250557,0.969613395864
1.0,21,0, -3,0.0556623958924,0.982163469198
1.0,21,-1, -1,0.879045402602,0.38366149006
1.0,21,-2, -2,0.118472520175,0.968456729424
1.0,21,1, 2,0.177406511103,0.944430165193
1.0,21,1, -2,0.175774204096,0.94538062011
1.0,21,-3, -3,0.0286254699742,0.98416243847
1.0,21,1, -4,0.0182578349195,0.984847182928
1.0,21,2, 0,0.497550456614,0.681188209148
1.0,21,-2, -4,0.0176524920326,0.9847265222
1.0,21,-1, 0,2.15898538551,0.0282927254026
1.0,21,3, -4,0.0123141276489,0.984998496324
1.0,21,2, -4,0.01382205217,0.984840541704
1.0,21,-3, 2,0.0827778418564,0.977912096146
1.0,21,-3, -4,0.0159857831611,0.984869500614
1.0,21,0, 0,6.26060982816,0
1.0,21,4, 1,0.0618981481581,0.981288384741
1.0,21,-3, 0,0.142567514722,0.960552877006
1.0,21,-1, -3,0.0549697362005,0.982042230999
1.0,21,1, 0,2.14001791441,0.0296157562141
